Name,Center
MTONGWE,"{""lat"":-4.079144,""lon"":39.612908}"
"SHIKA ADABU","{""lat"":-4.114949,""lon"":39.637367}"
BOFU,"{""lat"":-4.078956,""lon"":39.652907}"
LIKONI,"{""lat"":-4.089888,""lon"":39.644135}"
TIMBWANI,"{""lat"":-4.095801,""lon"":39.658438}"
MKOMANI,"{""lat"":-2.286358,""lon"":40.859715}"
HINDI,"{""lat"":-2.03279,""lon"":40.737379}"
MKUNUMBI,"{""lat"":-2.138979,""lon"":40.565323}"
HONGWE,"{""lat"":-2.388898,""lon"":40.615379}"
WITU,"{""lat"":-2.222638,""lon"":40.368394}"
BAHARI,"{""lat"":-2.407745,""lon"":40.730065}"
