Name,Center
WESTLANDS,"{""lat"":-1.238456,""lon"":36.788294}"
"DAGORETTI NORTH","{""lat"":-1.278738,""lon"":36.780121}"
"DAGORETTI SOUTH","{""lat"":-1.282524,""lon"":36.715569}"
LANGATA,"{""lat"":-1.354486,""lon"":36.804654}"
KIBRA,"{""lat"":-1.304002,""lon"":36.788108}"
ROYSAMBU,"{""lat"":-1.202966,""lon"":36.883707}"
KASARANI,"{""lat"":-1.249391,""lon"":37.008274}"
RUARAKA,"{""lat"":-1.244053,""lon"":36.879083}"
"EMBAKASI SOUTH","{""lat"":-1.329057,""lon"":36.877524}"
"EMBAKASI NORTH","{""lat"":-1.247138,""lon"":36.897499}"
"EMBAKASI CENTRAL","{""lat"":-1.268431,""lon"":36.921099}"
"EMBAKASI EAST","{""lat"":-1.306139,""lon"":36.93679}"
"EMBAKASI WEST","{""lat"":-1.268856,""lon"":36.897762}"
MAKADARA,"{""lat"":-1.29602,""lon"":36.86865}"
KAMUKUNJI,"{""lat"":-1.275406,""lon"":36.858819}"
STAREHE,"{""lat"":-1.290292,""lon"":36.834684}"
MATHARE,"{""lat"":-1.258112,""lon"":36.860583}"
