Name,Center
MOMBASA,"{""lat"":-4.018804,""lon"":39.650008}"
KWALE,"{""lat"":-4.18069,""lon"":39.189782}"
KILIFI,"{""lat"":-3.172886,""lon"":39.686064}"
"TANA RIVER","{""lat"":-1.52392,""lon"":39.417254}"
LAMU,"{""lat"":-2.076227,""lon"":40.882258}"
"TAITA TAVETA","{""lat"":-3.432282,""lon"":38.417981}"
GARISSA,"{""lat"":-0.486457,""lon"":40.198663}"
WAJIR,"{""lat"":1.810593,""lon"":40.034371}"
MANDERA,"{""lat"":3.438921,""lon"":40.738195}"
MARSABIT,"{""lat"":2.981109,""lon"":37.568928}"
ISIOLO,"{""lat"":1.012898,""lon"":38.541539}"
MERU,"{""lat"":0.169236,""lon"":37.763423}"
"THARAKA - NITHI","{""lat"":-0.204605,""lon"":37.869684}"
EMBU,"{""lat"":-0.601522,""lon"":37.625887}"
KITUI,"{""lat"":-1.488585,""lon"":38.406306}"
MACHAKOS,"{""lat"":-1.277062,""lon"":37.412018}"
MAKUENI,"{""lat"":-2.155226,""lon"":37.787627}"
NYANDARUA,"{""lat"":-0.319613,""lon"":36.482261}"
NYERI,"{""lat"":-0.34047,""lon"":36.955864}"
KIRINYAGA,"{""lat"":-0.522295,""lon"":37.319254}"
MURANG'A,"{""lat"":-0.807137,""lon"":37.032107}"
KIAMBU,"{""lat"":-1.066267,""lon"":36.822947}"
TURKANA,"{""lat"":3.427307,""lon"":35.435139}"
"WEST POKOT","{""lat"":1.742564,""lon"":35.24323}"
SAMBURU,"{""lat"":1.319312,""lon"":37.117774}"
"TRANS NZOIA","{""lat"":1.053408,""lon"":34.956803}"
"UASIN GISHU","{""lat"":0.528546,""lon"":35.321396}"
ELGEYO/MARAKWET,"{""lat"":0.804673,""lon"":35.535949}"
NANDI,"{""lat"":0.189143,""lon"":35.109878}"
BARINGO,"{""lat"":0.6717,""lon"":35.945852}"
LAIKIPIA,"{""lat"":0.326057,""lon"":36.771121}"
NAKURU,"{""lat"":-0.461222,""lon"":36.077847}"
NAROK,"{""lat"":-1.252328,""lon"":35.575712}"
KAJIADO,"{""lat"":-2.118928,""lon"":36.908224}"
KERICHO,"{""lat"":-0.293278,""lon"":35.313456}"
BOMET,"{""lat"":-0.723839,""lon"":35.297988}"
KAKAMEGA,"{""lat"":0.406141,""lon"":34.7439}"
VIHIGA,"{""lat"":0.078717,""lon"":34.721702}"
BUNGOMA,"{""lat"":0.75174,""lon"":34.639847}"
BUSIA,"{""lat"":0.389894,""lon"":34.193014}"
SIAYA,"{""lat"":-0.059673,""lon"":34.247028}"
KISUMU,"{""lat"":-0.167005,""lon"":34.834589}"
"HOMA BAY","{""lat"":-0.540355,""lon"":34.358386}"
MIGORI,"{""lat"":-0.987079,""lon"":34.362727}"
KISII,"{""lat"":-0.772149,""lon"":34.774106}"
NYAMIRA,"{""lat"":-0.64027,""lon"":34.964044}"
NAIROBI,"{""lat"":-1.290909,""lon"":36.867507}"
DIASPORA,"{""lat"":0,""lon"":0}"
